the_geom,Name,Descriptio
POINT (-76.625503 39.242225),337-3446 Spelman Rd(Parking Lot),337
POINT (-76.62395507097244 39.2425053904732),338-Spellman Rd. LLC#7076,338
POINT (-76.62401981794665 39.24204446311966),339-3486 Spelman Rd.,339
POINT (-76.6245967182681 39.24395149812875),332-3401 Round Rd.,332
POINT (-76.6238016694216 39.24413016229553),331-Rear of 3411 Round Rd.,331
POINT (-76.622775 39.2433),341-Seagull Ave. LLC#7076,341
POINT (-76.62229478359222 39.24291461834412),340-Seagull Ave. behind UMBC,340
POINT (-76.620876 39.245257),344-Seagull Ave - Bethune Rd,344
POINT (-76.621161 39.244783),343-835 Seagull Ave.,343
POINT (-76.6207954287529 39.24450165207217),342-Behind 835 Seagull Ave,342
POINT (-76.623826 39.245061),330-Bethune Rd - Bunche Rd,330
POINT (-76.624343 39.245411),329-Coppin Ct - Bunche Rd .,329
POINT (-76.626256 39.247836),348-2627 Carver Rd,348
POINT (-76.6254 39.246813),346-Carver Rd - Bridgeview Rd,346
POINT (-76.625636 39.247806),347-Rear of 2805 Carver Rd.,347
POINT (-76.625822 39.248642),349-2609 Carver Rd.,349
POINT (-76.625322 39.24845),350-2615 Carver Rd. (in circle),350
POINT (-76.62912223843638 39.24541761151036),320-Side of 2810 Denham Cr.,320
POINT (-76.62468329071999 39.24636595538039),345-Carver Rd. Front of School,345
POINT (-76.626792 39.242728),334-Back Circle 1019 Bethune Rd.,334
POINT (-76.55581 39.28705),402-Eastern Ave - Oldham St,402
POINT (-76.558053 39.287142),403-Eastern Ave - S Lehigh St,403
POINT (-76.556592 39.287034),404-Eastern Ave - S Newkirk St,404
POINT (-76.60946388888888 39.31814722222222),509-Greenmount Ave - E 25th St,501
POINT (-76.61216944444443 39.31806111111111),508-Falls St Alley - E 25th St,502
POINT (-76.60876944444443 39.31658888888889),510-Boone St - E 24th St,503
POINT (-76.61042777777777 39.31625833333333),512-Brentwood Ave - E 24th St,504
POINT (-76.61315555555555 39.32208055555556),501-Guilford Ave - E 28th St,505
POINT (-76.60744444444444 39.31603611111111),511-Cokesbury Ave - E 23rd St,506
POINT (-76.60952499999999 39.31549166666667),513-Greenmount Ave - E 23rd St,507
POINT (-76.60820277777778 39.31543888888889),515-23rd ST. - Boone,508
POINT (-76.61271666666666 39.315425),514-Guilford Ave - E 23rd St,509
POINT (-76.60955555555554 39.31450833333333),516-Greenmount Ave - E 22nd St,510
POINT (-76.60732222222222 39.31462777777777),517-Homewood Ave - E 22nd St,511
POINT (-76.6112111111111 39.31400833333333),518-Barclay St - 21st1/2 St,512
POINT (-76.60845277777777 39.31353888888889),520-Boone St - E 21st St,513
POINT (-76.60953611111111 39.31273611111111),521-Greenmount Ave - Worsley St,514
POINT (-76.61105277777777 39.31243333333333),522-Barclay St - E 20th St,515
POINT (-76.60953333333333 39.32001111111111),506-Greenmount Ave - E Lorraine Ave,516
POINT (-76.61103055555554 39.31201666666667),523-Barclay St - Heaver St,517
POINT (-76.61180833333333 39.31130555555556),525-E North Ave - Guilford Ave,518
POINT (-76.60950833333332 39.32215),502-Greenmount Ave - E 28th St,519
POINT (-76.61363055555555 39.31057777777777),526- N Calvert St - McAllister St,520
POINT (-76.61089166666666 39.31003333333333),528-Barclay St - E Lafayette Ave,521
POINT (-76.61238055555555 39.31009166666667),527-Guilford Ave - E Lafayette Ave,522
POINT (-76.61295277777778 39.31951944444445),507-Guilford Ave - E 26th St,523
POINT (-76.61075 39.30846388888889),529-Barclay St - Pitman Pl,524
POINT (-76.6082 39.30483888888889),530-Greenmount Ave - E Preston St,525
POINT (-76.60793055555555 39.30378333333333),531-Greenmount Ave - E Biddle St,526
POINT (-76.60953333333333 39.32092222222222),503-Greenmount-27th,527
POINT (-76.61114722222221 39.32088055555556),504-Barclay St - E 27th St,528
POINT (-76.61260555555555 39.31339722222222),519-Guilford Ave - E 21st St,529
POINT (-76.60764166666667 39.30273333333333),532-Greenmount Ave - E Chase St,530
POINT (-76.60726944444444 39.30136111111111),533-Greenmount Ave - E Eager St,531
POINT (-76.60961944444443 39.31121666666667),524-Greenmount - E North Ave,532
POINT (-76.61115833333332 39.32152222222223),505-Barclay St - Whitridge Ave,533
POINT (-76.557327 39.287016),401-Eastern Ave - S Macon St,401
POINT (-76.587869 39.298647),601-E Monument St - N Chester St,601
POINT (-76.58714979887009 39.29760709115317),602-McElderry St - N Duncan St,602
POINT (-76.586667 39.298691),603 Monumnet/Collington,603
POINT (-76.58599108457565 39.29969726179092),604-E Madison St - N Mederia St,604
POINT (-76.58499330282211 39.29866982722047),605-E Monument St - N Patterson Park Ave,605
POINT (-76.58429861068726 39.29762162085662),606-McElderry St - N Bradford St,606
POINT (-76.583721 39.298807),607-E Monument St - N Montford Ave,607
POINT (-76.583081 39.299893),608-E Madison -N Port,608
POINT (-76.582319 39.298861),609-E Monument St - N Milton Ave,609
POINT (-76.5814688802 39.2978105067),610 - McElderry St - N Rose St,610
POINT (-76.580905 39.298915),611-E Monument St - N Luzerne Ave,611
POINT (-76.580263 39.299997),612-E Madison St - N Glover St,612
POINT (-76.579493 39.298966),613-E Monument St - N Lakewood Ave,613
POINT (-76.57863110303879 39.29795061404889),614-McElderry St - N Belnord Ave,614
POINT (-76.578085 39.299029),615-E Monument St - N Kenwood Ave,615
POINT (-76.577437 39.300113),616-E Madison St - N Streeper St,616
POINT (-76.57646656036377 39.29790702513436),617-McElderry St - N Linwood Ave,617
POINT (-76.575962 39.299112),618-E Monument St - N Curley St,618
POINT (-76.575066447258 39.2980658131924),619-McElderry St - N Potomac St,619
POINT (-76.5744173527 39.2990932566),620 E Monument - Decker,620
POINT (-76.573908 39.300243),621-E Madison St - N Ellwood Ave,621
POINT (-76.573121 39.299225),622-E Monument St - N Robinson St,622
POINT (-76.57604 39.300151),623-E Madison St - N Curley St,623
POINT (-76.573086977005 39.29804090528554),624-McElderry St - N Robinson St,624
POINT (-76.658071 39.307524),701-Thomas Ave - Presbury St,701
POINT (-76.658115 39.308432),702- Thomas Ave - Westwood Ave,702
POINT (-76.65818 39.309431),703-W North Ave - Thomas Ave,703
POINT (-76.657154 39.308489),704-N Warwick Ave - Westwood Ave,704
POINT (-76.655912 39.308514),705-Moreland Ave - Westwood Ave,705
POINT (-76.655994 39.309508),706-W North Ave - Moreland Ave,706
POINT (-76.654071 39.308598),707-N Bentalou St - Westwood Ave,707
POINT (-76.652666 39.308666),708-N Smallwood St - Westwood Ave,708
POINT (-76.652712 39.309613),709-W North Ave - N Smallwood St,709
POINT (-76.652804 39.311245),710-N Smallwood St - Ridgehill Ave,710
POINT (-76.651259 39.308694),711-N Pulaski St - Westwood Ave,711
POINT (-76.651339 39.30968),712-W North Ave - N Pulaski St,712
POINT (-76.651376 39.310219),713-N Pulaski St - Herbert St,10713
POINT (-76.651397 39.310763),714-N Pulaski St - Walbrook Ave,714
POINT (-76.649921 39.30973),715-W North Ave - N Payson St,715
POINT (-76.649955 39.310392),716-N Payson St - Herbert St,716
POINT (-76.649988 39.310831),717-N Payson St - Walbrook Ave,717
POINT (-76.650011 39.31158),718-N Payson St - Ridgehill Ave,718
POINT (-76.648996 39.308785),719-Appleton St - Westwood Ave,719
POINT (-76.648124 39.308812),720-N Monroe St - Westwood Ave,720
POINT (-76.64818 39.309813),721-W North Ave - N Monroe St,721
POINT (-76.648237 39.310883),722-N Monroe St - Walbrook Ave,722
POINT (-76.646459 39.308853),723-N Fulton Ave - Westwood Ave,723
POINT (-76.646518 39.309889),724-W North Ave - N Fulton Ave,724
POINT (-76.64663314819336 39.31084758918878),725-N Fulton Ave - Walbrook Ave,725
POINT (-76.644946 39.308893),726-N Mount St - Westwood Ave,726
POINT (-76.64372 39.310024),727-W North Ave - N Carey St,727
POINT (-76.64239257574081 39.30989087879423),728-W North Ave - Pennsylvania Ave,728
POINT (-76.6434888889 39.308031),729-Cumberland St  &amp;  N Calhoun St,729
POINT (-76.64162546396255 39.30921121216148),730-Cumberland St - Pennsylvania Ave,730
POINT (-76.640912 39.310153),731-W North Ave - Division St,731
POINT (-76.64121 39.310515),732-Whitelock St - Woodbrook Ave,732
POINT (-76.640704 39.310861),733-Ettiing St - Whitelock St,10733
POINT (-76.640141 39.311185),734-Whitelock St - Francis St,734
POINT (-76.63929596543312 39.31156044406966),735-Druid Hill Ave - Whitelock St,735
POINT (-76.636986 39.310319),742-W North Ave - McCulloh St,742
POINT (-76.663122 39.33267),801-Reisterstown Rd - Keyworth Ave,801
POINT (-76.664031 39.333873),802-Reisterstown Rd - Shirley Ave,802
POINT (-76.66598930954933 39.33446547089893),803-Towonda Ave - Oswego Ave,803
POINT (-76.666884 39.337571),804-Reisterstown Rd - Grantley Ave,804
POINT (-76.669476 39.337273),805-Boarman Ave - Willowdale Ave,805
POINT (-76.67358264327049 39.34739927367743),806-Park Heights Ave - W Garrison Ave,806
POINT (-76.668406 39.339445),807-Reisterstown Rd - Laporte St,807
POINT (-76.67148515582085 39.34027301326582),808-Reisterstown Rd - St Ambrose Ave,808
POINT (-76.680281 39.346305),809-W Belvedere Ave - Litchfield Ave,809
POINT (-76.6714 39.345195),810-Park Heights Ave - Woodland,810
POINT (-76.674801 39.346728),811-W Garrison Ave - Denmore Ave,811
POINT (-76.672387 39.348089),812-W Garrison Ave - Palmer Ave,812
POINT (-76.666714 39.342397),813-Pimlico Rd - Sumter Ave,813
POINT (-76.66510552167892 39.34020040899882),814-Pimlico Rd - W Cold Spring Ln,814
POINT (-76.662933 39.337417),815 - Quantico Ave - Pimlico Rd,815
POINT (-76.66361957788467 39.3385398251061),816-Pimlico Rd - Loyola Northway,816
POINT (-76.663974 39.338999),817-Pimlico Rd - Rosewood Ave,817
POINT (-76.67768239974976 39.35287286005084),818-Winner Ave - Avondale Ave,818
POINT (-76.67887330055237 39.35000441410686),819-Park Heights Ave - Hayward Ave,819
POINT (-76.68332308530807 39.35185450263003),820-Park Heights-Rogers,820
